iter	Passed	Remaining
657	2171	1128
658	2174	1125
659	2177	1121
660	2180	1118
661	2184	1115
662	2188	1112
663	2191	1108
664	2194	1105
665	2197	1101
666	2200	1098
667	2203	1095
668	2205	1091
669	2208	1087
670	2211	1084
671	2213	1080
672	2217	1077
673	2220	1074
674	2223	1070
675	2226	1066
676	2228	1063
677	2232	1060
678	2236	1057
679	2239	1053
680	2242	1050
681	2244	1046
682	2247	1043
683	2250	1039
684	2253	1036
685	2256	1032
686	2258	1029
687	2261	1025
688	2264	1022
689	2267	1018
690	2269	1015
691	2272	1011
692	2276	1008
693	2279	1005
694	2282	1001
695	2285	998
696	2288	994
697	2291	991
698	2294	987
699	2297	984
700	2300	981
701	2303	977
702	2306	974
703	2310	971
704	2315	969
705	2318	965
706	2321	962
707	2324	958
708	2327	955
709	2330	951
710	2333	948
711	2336	945
712	2340	941
713	2344	939
714	2349	936
715	2352	932
716	2354	929
717	2357	925
718	2360	922
719	2364	919
720	2367	916
721	2371	913
722	2375	909
723	2378	906
724	2381	903
725	2384	899
726	2386	896
727	2389	892
728	2394	890
729	2397	886
730	2400	883
731	2403	880
732	2406	876
733	2409	873
734	2412	869
735	2415	866
736	2418	863
737	2421	859
738	2424	856
739	2426	852
740	2429	849
741	2432	845
742	2435	842
743	2438	839
744	2441	835
745	2443	832
746	2447	828
747	2450	825
748	2453	822
749	2455	818
750	2458	815
751	2461	811
752	2465	808
753	2468	805
754	2470	801
755	2473	798
756	2476	795
757	2479	791
758	2482	788
759	2485	784
760	2487	781
761	2490	777
762	2493	774
763	2495	770
764	2499	767
765	2501	764
766	2505	761
767	2509	758
768	2512	754
769	2516	751
770	2519	748
771	2522	745
772	2526	741
773	2529	738
774	2531	735
775	2534	731
776	2537	728
777	2539	724
778	2542	721
779	2545	717
780	2548	714
781	2551	711
782	2553	707
783	2556	704
784	2559	700
785	2561	697
786	2564	694
787	2568	690
788	2570	687
789	2574	684
790	2576	680
791	2579	677
792	2583	674
793	2586	671
794	2589	667
795	2592	664
796	2594	660
797	2597	657
798	2600	654
799	2603	650
800	2605	647
801	2608	644
802	2612	640
803	2617	637
804	2621	635
805	2625	631
806	2628	628
807	2630	625
808	2633	621
809	2637	618
810	2642	615
811	2645	612
812	2648	609
813	2653	606
814	2657	603
815	2660	599
816	2663	596
817	2666	593
818	2669	589
819	2672	586
820	2674	583
821	2677	579
822	2681	576
823	2684	573
824	2687	570
825	2690	566
826	2693	563
827	2696	560
828	2699	556
829	2702	553
830	2705	550
831	2708	546
832	2711	543
833	2713	540
834	2716	536
835	2720	533
836	2725	530
837	2729	527
838	2734	524
839	2738	521
840	2742	518
841	2746	515
842	2750	512
843	2754	509
844	2758	505
845	2761	502
846	2764	499
847	2768	496
848	2771	492
849	2774	489
850	2777	486
851	2780	482
852	2782	479
853	2785	476
854	2789	473
855	2793	469
856	2795	466
857	2798	463
858	2802	459
859	2804	456
860	2807	453
861	2810	449
862	2813	446
863	2816	443
864	2819	440
865	2822	436
866	2825	433
867	2828	430
868	2830	426
869	2834	423
870	2837	420
871	2839	416
872	2842	413
873	2845	410
874	2849	407
875	2852	403
876	2855	400
877	2858	397
878	2861	393
879	2864	390
880	2866	387
881	2869	383
882	2872	380
883	2875	377
884	2878	374
885	2881	370
886	2884	367
887	2887	364
888	2890	360
889	2893	357
890	2896	354
891	2898	350
892	2901	347
893	2904	344
894	2907	341
895	2910	337
896	2913	334
897	2915	331
898	2918	327
899	2921	324
900	2924	321
901	2928	318
902	2931	314
903	2934	311
904	2936	308
905	2940	305
906	2946	302
907	2950	298
908	2953	295
909	2956	292
910	2959	289
911	2964	286
912	2968	282
913	2972	279
914	2975	276
915	2978	273
916	2982	269
917	2985	266
918	2988	263
919	2991	260
920	2994	256
921	2998	253
922	3001	250
923	3004	247
924	3007	243
925	3011	240
926	3014	237
927	3018	234
928	3021	230
929	3024	227
930	3027	224
931	3030	221
932	3032	217
933	3035	214
934	3038	211
935	3041	207
936	3043	204
937	3046	201
938	3049	198
939	3052	194
940	3055	191
941	3058	188
942	3061	185
943	3064	181
944	3068	178
945	3071	175
946	3074	172
947	3076	168
948	3079	165
949	3082	162
950	3085	158
951	3088	155
952	3090	152
953	3094	149
954	3097	145
955	3099	142
956	3102	139
957	3105	136
958	3108	132
959	3111	129
960	3114	126
961	3117	123
962	3120	119
963	3122	116
964	3126	113
965	3128	110
966	3131	106
967	3134	103
968	3137	100
969	3140	97
970	3143	93
971	3146	90
972	3149	87
973	3152	84
974	3155	80
975	3158	77
976	3161	74
977	3164	71
978	3167	67
979	3170	64
980	3174	61
981	3177	58
982	3179	54
983	3182	51
984	3185	48
985	3188	45
986	3190	42
987	3193	38
988	3196	35
989	3199	32
990	3202	29
991	3206	25
992	3209	22
993	3212	19
994	3215	16
995	3217	12
996	3220	9
997	3223	6
998	3226	3
999	3229	0
